seal,ref,d_date,lat,lon,v_mask
B21,hg32-24-11,2011-12-01T08:10:52Z,48.3709716796875,-4.88066005706787,0
B21,hg32-24-11,2011-12-01T09:10:16Z,48.3708000183105,-4.88196992874146,0
B21,hg32-24-11,2011-12-01T09:20:16Z,48.3709106445313,-4.88091993331909,0
B21,hg32-24-11,2011-12-01T09:47:12Z,48.3708992004395,-4.88126993179321,0
B21,hg32-24-11,2011-12-01T09:57:52Z,48.3709716796875,-4.88145017623901,0
B21,hg32-24-11,2011-12-01T10:19:08Z,48.369930267334,-4.88043022155762,0
B21,hg32-24-11,2011-12-01T10:42:48Z,48.3654899597168,-4.87899017333984,0
B21,hg32-24-11,2011-12-01T11:10:44Z,48.3656997680664,-4.87907981872559,0
B21,hg32-24-11,2011-12-01T11:25:16Z,48.3657493591309,-4.87898015975952,0
B21,hg32-24-11,2011-12-01T11:50:56Z,48.3585586547852,-4.8785400390625,0
B21,hg32-24-11,2011-12-01T12:03:28Z,48.3486289978027,-4.87064981460571,0
B21,hg32-24-11,2011-12-01T12:31:24Z,48.343189239502,-4.86619997024536,0
B21,hg32-24-11,2011-12-01T13:20:04Z,48.3390007019043,-4.86775016784668,0
B21,hg32-24-11,2011-12-01T13:40:52Z,48.3392105102539,-4.86650991439819,0
B21,hg32-24-11,2011-12-01T13:51:08Z,48.3390617370605,-4.8710298538208,0
B21,hg32-24-11,2011-12-01T14:03:28Z,48.3404502868652,-4.87536001205444,0
B21,hg32-24-11,2011-12-01T14:16:00Z,48.3317718505859,-4.87476015090942,0
B21,hg32-24-11,2011-12-01T14:27:24Z,48.3226699829102,-4.87707996368408,0
B21,hg32-24-11,2011-12-01T14:37:36Z,48.3199195861816,-4.87789011001587,0
B21,hg32-24-11,2011-12-01T15:16:08Z,48.3195610046387,-4.87770986557007,0
B21,hg32-24-11,2011-12-01T15:28:08Z,48.317798614502,-4.8784499168396,0
B21,hg32-24-11,2011-12-01T17:21:48Z,48.3110389709473,-4.8650598526001,0
B21,hg32-24-11,2011-12-01T18:43:08Z,48.2971801757813,-4.78911018371582,0
B21,hg32-24-11,2011-12-01T18:54:48Z,48.2961006164551,-4.77896976470947,0
B21,hg32-24-11,2011-12-01T19:05:44Z,48.2933807373047,-4.76905012130737,0
B21,hg32-24-11,2011-12-01T19:21:12Z,48.2888717651367,-4.75605010986328,0
B21,hg32-24-11,2011-12-01T19:36:36Z,48.2831382751465,-4.74191999435425,0
B21,hg32-24-11,2011-12-01T20:06:00Z,48.2768402099609,-4.7225399017334,0
